productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
SF 619 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
SF 621 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 622 A ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 623 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
SF 624 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
SF 625 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
SF 626 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 627 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 628 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 930 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 1077 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 1084 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 1085 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 1135 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 1137 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 1138 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
SF 1165 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 1166 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 1167 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
SF 1168 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 1169 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
SF 1170 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,14,0,0,,FALSE,FALSE
SF 1171 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,1,0,,FALSE,FALSE
SF 1196 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
SF 2010 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 2011 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,TRUE
SF 2012 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 2014 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
SF 2015 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,1,0,0,,FALSE,FALSE
SF 2016 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,2,0,,FALSE,FALSE
SF 2017 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
SF 2018 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,13,0,0,,FALSE,FALSE
SF 2020 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
SF 2021 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,2,0,,FALSE,FALSE
SF 2022 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
SF 2035 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
